construction,train,test,n_train,n_test,pos_train,pos_test,full_pr_auc,full_mean,full_lo,full_hi,d1_mean,d1_lo,d1_hi,d2_mean,d2_lo,d2_hi,d3_mean,d3_lo,d3_hi,n_valid
all_cleft,childes,ewt,64,164,15,29,0.6137374860956619,0.5841877186443396,0.35367752436218614,0.7581645633012822,0.11638201286961204,-0.07356648524287342,0.2640891672350063,0.0,0.0,0.0,0.32464027001049706,0.09054156435661936,0.45459755144394154,200
all_cleft,childes,gum,64,152,15,25,0.5796721804511278,0.555157626560068,0.334130925836378,0.7432734741913434,0.12039060773309193,-0.06545286881395267,0.25802635086783876,0.0,0.0,0.0,0.31760582300163004,0.11108017202875803,0.4470986157608965,200
all_cleft,ewt,childes,164,64,29,15,0.8301348039215687,0.8177829280802682,0.5847833994708994,0.9796762125902992,0.048674083309231946,-0.03837099433074663,0.17805361305361314,0.0,0.0,0.0,0.529953381886426,0.3771767548912604,0.6837733100233101,200
all_cleft,ewt,gum,164,152,29,25,0.5796721804511278,0.59328493548571,0.40099041023270987,0.7560067767042404,0.15313435994659563,0.04700833129135011,0.28681048506359075,0.0,0.0,0.0,0.3418078881125824,0.22282475575512853,0.47813395250699275,200
all_cleft,gum,childes,152,64,25,15,0.8301348039215687,0.8356661524506541,0.6291648562834226,0.9686541889483066,0.04249314691083114,-0.03967620666047231,0.14852591036414572,0.0,0.0,0.0,0.5301660501345904,0.3662497936795492,0.7121983225108225,200
all_cleft,gum,ewt,152,164,25,29,0.6137374860956619,0.6116474687985085,0.44511261505595284,0.769341905000968,0.1466791716363377,0.0335065523244871,0.2751031991744067,0.0,0.0,0.0,0.3463091839869126,0.2559496864347085,0.4686459512006534,200
npn,ewt,gum,24,23,18,19,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17457514897373644,0.04347826086956519,0.3086956521739128,197
npn,gum,ewt,23,24,19,18,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251073883161512,0.08333333333333337,0.45833333333333337,194
resultative_adj,childes,ewt,144,315,16,28,0.9333333333333333,0.9252773330799314,0.8331521739130435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8350233648259632,0.7481547619047619,0.9111111111111111,200
resultative_adj,childes,gum,144,272,16,17,0.8947368421052632,0.889480130309678,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8277889538390899,0.651875,0.9486213235294118,200
resultative_adj,childes,lines,144,134,16,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9239179104477613,0.8805970149253731,0.9626865671641791,200
resultative_adj,ewt,childes,315,144,28,16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8889930555555555,0.8333333333333334,0.9307291666666667,200
resultative_adj,ewt,gum,315,272,28,17,0.8947368421052632,0.8854702775155127,0.7271464646464647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8227680716331597,0.6850979317165462,0.9448529411764706,200
resultative_adj,ewt,lines,315,134,28,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9267910447761196,0.8805970149253731,0.9701492537313433,200
resultative_adj,gum,childes,272,144,17,16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8887152777777777,0.8333333333333334,0.9375,200
resultative_adj,gum,ewt,272,315,17,28,0.9333333333333333,0.9334727615920336,0.8180976430976431,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8459172060364781,0.7448748473748473,0.923888888888889,200
resultative_adj,gum,lines,272,134,17,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9249626865671644,0.880410447761194,0.9701492537313433,200
resultative_adj,lines,childes,134,144,10,16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8896875,0.8333333333333334,0.9444444444444444,200
resultative_adj,lines,ewt,134,315,10,28,0.9333333333333333,0.9277581304809033,0.8377252252252252,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8393454320682048,0.7539039408866995,0.908015873015873,200
resultative_adj,lines,gum,134,272,10,17,0.8947368421052632,0.8899519589700299,0.7357287449392712,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8287387236759121,0.6761951603383828,0.9486213235294118,200
resultative_pooled,childes,ewt,14645,12226,19,29,0.8787878787878788,0.8765274397904653,0.7645882352941176,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.79075374173472,0.6788873680969136,0.8808625035897764,200
resultative_pooled,childes,gum,14645,10407,19,17,0.68,0.6802343148663692,0.4641369047619048,0.8503409090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.6222155071540769,0.4213230787364451,0.798218659474578,200
resultative_pooled,childes,lines,14645,4857,19,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9269444527646828,0.8796579864294883,0.9626865671641791,200
resultative_pooled,ewt,childes,12226,14645,29,19,0.9047619047619048,0.9127327060386216,0.7684782608695653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001857290152924,0.6771484282515609,0.908625,200
resultative_pooled,ewt,gum,12226,10407,29,17,0.68,0.677190097364986,0.5,0.8422647527910686,0.0,0.0,0.0,0.0,0.0,0.0,0.6164311378909503,0.45202793446145584,0.7725524971737239,200
resultative_pooled,ewt,lines,12226,4857,29,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9255451157030089,0.8723224554341577,0.9668887855070878,200
resultative_pooled,gum,childes,10407,14645,17,19,0.9047619047619048,0.9092698198315926,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795787515500782,0.6876139636845637,0.9096503993502099,200
resultative_pooled,gum,ewt,10407,12226,17,29,0.8787878787878788,0.884676051157426,0.7497983870967742,0.9729907539118066,0.0,0.0,0.0,0.0,0.0,0.0,0.7999650326067734,0.68804308930317,0.8887425753433904,200
resultative_pooled,gum,lines,10407,4857,17,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9280969083432312,0.8861617948240551,0.969946764722024,200
resultative_pooled,lines,childes,4857,14645,10,19,0.9047619047619048,0.9010870248667523,0.749671052631579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7876203347204797,0.6497043761638734,0.9171995192307693,200
resultative_pooled,lines,ewt,4857,12226,10,29,0.8787878787878788,0.8785487993830751,0.7559451219512195,0.9756639566395664,0.0,0.0,0.0,0.0,0.0,0.0,0.7938113517476532,0.6802768047285845,0.8930969963518183,200
resultative_pooled,lines,gum,4857,10407,10,17,0.68,0.6753543086302485,0.4666666666666667,0.8577731092436975,0.0,0.0,0.0,0.0,0.0,0.0,0.6168620102992133,0.4396899293286219,0.8078833345655738,200
way_construction,ewt,lines,268,121,14,20,1.0,0.9995253094606542,1.0,1.0,0.43484799513147865,0.22999052833958497,0.6490052741636756,0.2452390907158827,0.08742602657004833,0.4587003968253968,-0.0004746905393457118,0.0,0.0,200
way_construction,lines,ewt,121,268,20,14,0.8865546218487395,0.8932357299505285,0.7639917027417027,1.0,0.6498928057272646,0.4885564641423308,0.8229626623376624,0.2104377908170364,0.10100607287449395,0.37760559006211186,0.06287085522923455,0.0,0.17046668609168605,200
